Catégorie,Indice,Code_Index,Index_id
Principaux indices,MASI,MASI,512335
Principaux indices,MASI 20,MSI20,512343
Principaux indices,MASI ESG,ESGI,512320
Principaux indices,MASI Mid and Small Cap ,MASIMS,512338
Indices sectoriels,MASI AGROALIMENTAIRE / PRODUCTION ,AGRO,512310
Indices sectoriels,MASI ASSURANCES,ASSUR,512311
Indices sectoriels,MASI BANQUES,BANK,512313
Indices sectoriels,MASI BATIMENT ET MATERIAUX DE CONSTRUCTION,B&MC,512312
Indices sectoriels,MASI BOISSONS,BOISS,512314
Indices sectoriels,MASI CHIMIE,CHIM,512315
Indices sectoriels,MASI DISTRIBUTEURS,DISTR,512316
Indices sectoriels,MASI ELECTRICITE,ELEC,512318
Indices sectoriels,MASI INDUSTRIE AGRICOLE,IAG,1081951
Indices sectoriels,MASI INDUSTRIE PHARMACEUTIQUE,PHARM,512345
Indices sectoriels,MASI INGENIERIES ET BIENS D’EQUIPEMENT INDUSTRIELS,I&BEI,512325
Indices sectoriels,MASI LOISIRS ET HOTELS,L&H,512327
Indices sectoriels,"MASI MATERIELS,LOGICIELS ET SERVICES INFORMATIQUES",L&SI,512328
Indices sectoriels,MASI MINES,MINES,512342
Indices sectoriels,MASI PARTICIPATION ET PROMOTION IMMOBILIERES,IMMOB,512326
Indices sectoriels,MASI PETROLE ET GAZ,P&G,512344
Indices sectoriels,MASI SANTE,SANTE,512348
Indices sectoriels,MASI SERVICES DE TRANSPORT,SDT,512349
Indices sectoriels,MASI SOCIETE DE FINANCEMENT ET AUTRES ACTIVITES FINANCIERES,SF&AF,512350
Indices sectoriels,MASI SOCIETES DE PLACEMENT IMMOBILIER,SPI,512352
Indices sectoriels,MASI SOCIETES DE PORTEFEUILLES - HOLDINGS,SP&H,512351
Indices sectoriels,MASI SYLVICULTURE ET PAPIER,S&P,512346
Indices sectoriels,MASI TELECOMMUNICATIONS,TCOM,512353
Indices sectoriels,MASI TRANSPORT,TRANS,512354
Indices de rentabilité,MASI RENTABILITE BRUT,MASIR,512340
Indices de rentabilité,MASI RENTABILITE NET,MASRN,512341
Indices en devises,MASI (EUR),MASIE,512337
Indices en devises,MASI (USD),MASID,512336
Indices FTSE CSE Morocco,FTSE CSE Morocco 15 Index,FCSE,512323
Indices FTSE CSE Morocco,FTSE CSE Morocco All-Liquid,FCSELIQ,512324
