Nom,Symbole,Instrument_id,Secteur
DOUJA PROM ADDOHA,ADH,525,Participation et promotion immobilières
ALLIANCES,ADI,379,Participation et promotion immobilières
ATLANTASANAD,ATL,365,Assurances
ATTIJARIWAFA BANK,ATW,511,Banques
BCP,BCP,509,Banques
CIH,CIH,449,Banques
COSUMAR,CSR,465,Agroalimentaire et Production
DELTA HOLDING,DHO,371,Sociétés de Portefeuilles / Holdings
ITISSALAT AL-MAGHRIB,IAM,510,Télécommunications
LESIEUR CRISTAL,LES,474,Agroalimentaire et Production
MED PAPER,MDP,489,Sylviculture et Papier
RESIDENCES DAR SAADA,RDS,389,Participation et promotion immobilières
TOTALENERGIES MARKETING MAROC,TMA,390,Pétrole et Gaz
TAQA MOROCCO,TQM,387,Electricité
AFRIC INDUSTRIES SA,AFI,385,Bâtiment et Matériaux de Construction
ALUMINIUM DU MAROC,ALM,490,Bâtiment et Matériaux de Construction
AUTO HALL,ATH,452,Distributeurs
BMCI,BCI,476,Banques
CIMENTS DU MAROC,CMA,464,Bâtiment et Matériaux de Construction
MINIERE TOUISSIT,CMT,374,Mines
COLORADO,COL,530,Bâtiment et Matériaux de Construction
CARTIER SAADA,CRS,521,Agroalimentaire et Production
CTM,CTM,428,Transport
FENIE BROSSETTE,FBR,532,Distributeurs
HPS,HPS,535,"Matériels, Logiciels et Services Informatiques"
INVOLYS,INV,534,"Matériels, Logiciels et Services Informatiques"
JET CONTRACTORS,JET,384,Bâtiment et Matériaux de Construction
LABEL VIE,LBV,377,Distributeurs
M2M Group,M2M,360,"Matériels, Logiciels et Services Informatiques"
MICRODATA,MIC,368,"Matériels, Logiciels et Services Informatiques"
MANAGEM,MNG,500,Mines
RISMA,RIS,515,Loisirs et Hôtels
S.M MONETIQUE,S2M,386,"Matériels, Logiciels et Services Informatiques"
SANLAM MAROC,SAH,382,Assurances
SONASID,SID,394,Bâtiment et Matériaux de Construction
SALAFIN,SLF,369,Sociétés de financement et Autres Activités Financières
STOKVIS NORD AFRIQUE,SNA,366,Distributeurs
