id,uuid,type,code,published,is_flagged,has_alert,metatag,internal_user,Meilleur prix vente,Quantité meilleur prix vente,Meilleur prix achat,Quantité meilleur prix achat,Capitalisation,Prix clôture,Cours ajusté,field_cours_cloture,Cours courant,Quantité échangée,Volume échangé,field_date_application,Différence,field_dynamic_reference_price,Statut,Plus haut,field_instrument_var_year,field_last_traded_price,field_last_traded_time,field_last_transactions,Plus bas,field_market_id,Ouverture,field_pto,field_ratio_ajustement,field_ratio_consolide,Prix référence,field_symbol,Nombre transactions,field_transact_time,field_var_pto,Variation %,Nom,Symbole,Secteur,redirect_alias
17896650,8eec4166-eae8-47c8-9183-f050e86a57f3,market_watch,AADHA-690e099fb9a74,1,[],False,[],[],[],[],[],[],5628892500.0000000000,37.1000000000,39.7100000000,-,39.7100000000,[],[],2025-11-07T15:39:27,0.0000000000,39.7100000000,-,[],-,[],[],-,[],59,[],[],1.00,1.00,39.7100000000,526,[],2025-11-07T15:39:27,[],0.0000000000,DA ADH 1/1 2008,AADHA,Participation et promotion immobilières,/fr/live-market/instruments/AADHA
17894608,d7e96dec-de5b-4f74-88ea-cf82072ee38e,market_watch,AATHA-690e049ff2175,1,[],False,[],[],[],[],[],[],566400000.0000000000,179.8000000000,160.0000000000,-,160.0000000000,[],[],2025-11-07T15:30:37,0.0000000000,160.0000000000,-,[],-,[],[],-,[],59,[],[],1.00,1.00,160.0000000000,453,[],2025-11-07T15:30:37,[],0.0000000000,DA ATH 1/3 1999,AATHA,Distributeurs,/fr/live-market/instruments/AATHA
17894611,b52c2d87-67d3-4843-9916-c9bc838e6e01,market_watch,AATHB-690e04a0d10f9,1,[],False,[],[],[],[],[],[],2265364000.0000000000,107.9000000000,95.9900000000,-,95.9900000000,[],[],2025-11-07T15:30:37,0.0000000000,95.9900000000,-,[],-,[],[],-,[],59,[],[],1.00,1.00,95.9900000000,454,[],2025-11-07T15:30:37,[],0.0000000000,DA ATH 1/1 2008,AATHB,Distributeurs,/fr/live-market/instruments/AATHB
17894924,83989a81-9346-41eb-ba3f-02cabd03baed,market_watch,ABCIA-690e050bdd725,1,[],False,[],[],[],[],[],[],180014817.0000000000,113.0000000000,108.6000000000,-,108.6000000000,[],[],2025-11-07T15:31:24,0.0000000000,108.6000000000,-,[],-,[],[],-,[],59,[],[],1.00,1.00,108.6000000000,477,[],2025-11-07T15:31:24,[],0.0000000000,DA BCI 1/5 2006,ABCIA,Banques,/fr/live-market/instruments/ABCIA
17895837,fe8efcc4-e11b-4c2b-b0b5-f889d5cba5ba,market_watch,ABOAA-690e06db3e879,1,[],False,[],[],[],[],[],[],1918285138.8000000000,65.5500000000,67.1400000000,-,67.1400000000,[],[],2025-11-07T15:33:21,0.0000000000,67.1400000000,-,[],-,[],[],-,[],59,[],[],1.00,1.00,67.1400000000,375,[],2025-11-07T15:33:21,[],0.0000000000,DA BOA 2/7 1996,ABOAA,Banques,/fr/live-market/instruments/ABOAA
17895839,8a0d51ec-cdf7-4bb6-84e1-d77a6a01e8da,market_watch,ABOAB-690e06dd0efcc,1,[],False,[],[],[],[],[],[],339150590.0000000000,22.9500000000,23.5000000000,-,23.5000000000,[],[],2025-11-07T15:33:21,0.0000000000,23.5000000000,-,[],-,[],[],-,[],59,[],[],1.00,1.00,23.5000000000,376,[],2025-11-07T15:33:21,[],0.0000000000,DA BOA 1/10 2000,ABOAB,Banques,/fr/live-market/instruments/ABOAB
17895842,8d72601c-6900-47dc-906d-f543c21f352d,market_watch,ABOAF-690e06ded49f3,1,[],False,[],[],[],[],4.0100000000,4783.0000000000,1055195168.3700000000,5.3800000000,4.8900000000,-,4.8900000000,[],[],2025-11-07T15:33:21,0.0000000000,4.8900000000,-,[],-,[],[],-,[],59,[],[],1.00,1.00,4.8900000000,17466238,[],2025-11-07T15:33:21,[],0.0000000000,DA BOA 1/48 2025,ABOAF,Banques,/fr/live-market/instruments/ABOAF
17890583,10f4b141-6836-4034-aa38-f6224e9306ae,market_watch,ACRSA-690dfc5f3fe4c,1,[],False,[],[],[],[],[],[],30264000.0000000000,3.6100000000,7.7600000000,-,7.7600000000,[],[],2025-11-07T15:04:12,0.0000000000,7.7600000000,-,[],-,[],[],-,[],59,[],[],1.00,1.00,7.7600000000,522,[],2025-11-07T15:04:12,[],0.0000000000,DA CRS 1/5 2007,ACRSA,Agroalimentaire et Production,/fr/live-market/instruments/ACRSA
17896946,4cfdbfbc-55e5-473b-b2ba-e0d1bd082781,market_watch,ADH-690e0b329659d,1,[],True,[],[],39.9600000000,1990.0000000000,39.6500000000,100.0000000000,15985310296.3400000000,39.7100000000,39.7100000000,-,39.7100000000,181550.0000000000,7226824.1000000000,2025-11-07T16:00:45,-0.4300000000,39.7100000000,-,40.2400000000,-,39.7100000000,2025-11-07T15:39:27,-,39.7100000000,59,40.2400000000,39.7100000000,1.00,1.00,40.1400000000,525,115,2025-11-07T16:00:45,-1.0712506228,-1.0712506228,DOUJA PROM ADDOHA,ADH,Participation et promotion immobilières,/fr/live-market/instruments/ADH
17896947,e0efc212-19eb-4fab-b993-c14c1fc88534,market_watch,ADI-690e0b3354725,1,[],True,[],[],622.6000000000,115.0000000000,612.0000000000,10.0000000000,13646775242.8000000000,618.1000000000,618.1000000000,-,618.1000000000,78488.0000000000,48718480.4000000000,2025-11-07T16:00:45,14.9000000000,618.1000000000,-,627.5000000000,-,618.1000000000,2025-11-07T15:39:57,-,605.0000000000,59,610.0000000000,618.1000000000,1.00,1.00,603.2000000000,379,569,2025-11-07T16:00:45,2.4701591512,2.4701591512,ALLIANCES,ADI,Participation et promotion immobilières,/fr/live-market/instruments/ADI
17865961,93ada9af-8da0-493a-b063-095da1795585,market_watch,ADISA-690da9310a14a,1,[],False,[],[],[],[],[],[],726484.5000000000,[],5.2500000000,-,5.2500000000,[],[],2025-11-07T08:10:00,0.0000000000,5.2500000000,-,[],-,[],[],-,[],59,[],[],1.00,1.00,5.2500000000,467,[],2025-11-07T08:10:00,[],0.0000000000,DA DIS 1/5 1999,ADISA,Sociétés de financement et Autres Activités Financières,/fr/live-market/instruments/ADISA
17890399,cfebaf8c-683c-4d69-9217-ba7536fb15ff,market_watch,ADRIA-690dfbaba5891,1,[],False,[],[],[],[],[],[],108500000.0000000000,172.8000000000,400.0000000000,-,400.0000000000,[],[],2025-11-07T15:01:10,0.0000000000,400.0000000000,-,[],-,[],[],-,[],59,[],[],1.00,1.00,400.0000000000,513,[],2025-11-07T15:01:10,[],0.0000000000,DA DRI 1/10 2006,ADRIA,Agroalimentaire et Production,/fr/live-market/instruments/ADRIA
17896960,320f4a75-ac8e-4530-91a3-a17dda17e9f1,market_watch,AFI-690e0b3fe5a05,1,[],False,[],[],335.5500000000,32.0000000000,330.5000000000,2.0000000000,96486500.0000000000,331.0000000000,331.0000000000,-,331.0000000000,286.0000000000,94792.0000000000,2025-11-07T16:00:45,-3.9000000000,331.0000000000,-,336.0000000000,-,331.0000000000,2025-11-07T15:17:07,-,331.0000000000,59,336.0000000000,[],1.00,1.00,334.9000000000,385,12,2025-11-07T16:00:45,[],-1.1645267244,AFRIC INDUSTRIES SA,AFI,Bâtiment et Matériaux de Construction,/fr/live-market/instruments/AFI
